,ATELNO,Sources
26617,ATEL #12344,OT J023059.78-172027.1
26618,ATEL #12344,atlas18tec
26619,ATEL #12344,GRB 180810
26620,ATEL #12344,sn2018ffj
26621,ATEL #12344,grb180810.28
26622,ATEL #12344,SDSS J023059.77-172026.8
26623,ATEL #12345,OT J070634.76+635056.9
26624,ATEL #12345,ugc03660
26625,ATEL #12346,at2018lcd
26626,ATEL #12347,atlas18bbhg
26627,ATEL #12347,sn2018jpf
26628,ATEL #12347,sn2018ldw
26629,ATEL #12347,ztf18adbhrjs
26630,ATEL #12347,sn2018ldu
26631,ATEL #12347,ztf18adazbol
26632,ATEL #12347,sn2004et
26633,ATEL #12347,sn2018koy
26634,ATEL #12347,at2018kzt
26635,ATEL #12347,ztf18adaykvg
26636,ATEL #12347,ztf18adazblo
26637,ATEL #12347,ztf18adazeua
26638,ATEL #12347,sn2018kzr
26639,ATEL #12347,sn2018lef
26640,ATEL #12347,sn2018kxo
26641,ATEL #12347,ztf18adaifep
26642,ATEL #12347,ztf18adazgcu
26643,ATEL #12347,ztf18adazgpv
26644,ATEL #12348,asassn-18acg
26645,ATEL #12348,asassn-18abt
26646,ATEL #12348,asassn-18acl
26647,ATEL #12348,asassn-18xx
26648,ATEL #12348,at2018kag
26649,ATEL #12348,at2018kwx
26650,ATEL #12348,at2018kcw
26651,ATEL #12348,at2018lei
26652,ATEL #12348,at2018kad
26653,ATEL #12348,asassn-18abz
26654,ATEL #12348,asassn-18abx
26655,ATEL #12348,asassn-18abs
26656,ATEL #12348,at2018xyz
26657,ATEL #12348,at2018khh
26658,ATEL #12349,at2018lcl
26659,ATEL #12349,at2018jib
26660,ATEL #12349,m31
26661,ATEL #12349,at2018kaf
26662,ATEL #12349,at2018kcd
26663,ATEL #12349,at2018kjt
26664,ATEL #12349,at2018klr
26665,ATEL #12350,sn2018gft
26666,ATEL #12350,ztf18abshezu
26667,ATEL #12350,atlas18uym
26668,ATEL #12351,at2018kkt
26669,ATEL #12351,ztf18acvgxtb
26670,ATEL #12351,at2018las
26671,ATEL #12351,ztf18aczrafz
26672,ATEL #12351,at2018kss
26673,ATEL #12351,ztf18adalarn
26674,ATEL #12351,sn2000cx
26675,ATEL #12351,sn2006gz
26676,ATEL #12352,OT J000256.70+323252.3
26677,ATEL #12353,XTE J1810-197
26678,ATEL #12354,1ES 1218+304
